country_id,country_name,country_logo
142,Kosovo,https://apiv3.apifootball.com/badges/logo_country/142_kosovo.png
69,Kuwait,https://apiv3.apifootball.com/badges/logo_country/69_kuwait.png
161,Kyrgyzstan,https://apiv3.apifootball.com/badges/logo_country/161_kyrgyzstan.png
131,Laos,https://apiv3.apifootball.com/badges/logo_country/131_laos.png
70,Latvia,https://apiv3.apifootball.com/badges/logo_country/70_latvia.png
71,Lebanon,https://apiv3.apifootball.com/badges/logo_country/71_lebanon.png
144,Liberia,https://apiv3.apifootball.com/badges/logo_country/144_liberia.png
72,Libya,https://apiv3.apifootball.com/badges/logo_country/72_libya.png
141,Liechtenstein,https://apiv3.apifootball.com/badges/logo_country/141_liechtenstein.png
73,Lithuania,https://apiv3.apifootball.com/badges/logo_country/73_lithuania.png
74,Luxembourg,https://apiv3.apifootball.com/badges/logo_country/74_luxembourg.png
157,Malawi,https://apiv3.apifootball.com/badges/logo_country/157_malawi.png
76,Malaysia,https://apiv3.apifootball.com/badges/logo_country/76_malaysia.png
164,Maldives,https://apiv3.apifootball.com/badges/logo_country/164_maldives.png
154,Mali,https://apiv3.apifootball.com/badges/logo_country/154_mali.png
77,Malta,https://apiv3.apifootball.com/badges/logo_country/77_malta.png
155,Mauritania,https://apiv3.apifootball.com/badges/logo_country/155_mauritania.png
153,Mauritius,https://apiv3.apifootball.com/badges/logo_country/153_mauritius.png
78,Mexico,https://apiv3.apifootball.com/badges/logo_country/78_mexico.png
79,Moldova,https://apiv3.apifootball.com/badges/logo_country/79_moldova.png
129,Mongolia,https://apiv3.apifootball.com/badges/logo_country/129_mongolia.png
81,Montenegro,https://apiv3.apifootball.com/badges/logo_country/81_montenegro.png
80,Morocco,https://apiv3.apifootball.com/badges/logo_country/80_morocco.png
162,Myanmar,https://apiv3.apifootball.com/badges/logo_country/162_myanmar.png
139,Nepal,https://apiv3.apifootball.com/badges/logo_country/139_nepal.png
82,Netherlands,https://apiv3.apifootball.com/badges/logo_country/82_netherlands.png
83,New Zealand,https://apiv3.apifootball.com/badges/logo_country/83_new-zealand.png
84,Nicaragua,https://apiv3.apifootball.com/badges/logo_country/84_nicaragua.png
85,Nigeria,https://apiv3.apifootball.com/badges/logo_country/85_nigeria.png
75,North Macedonia,https://apiv3.apifootball.com/badges/logo_country/75_north-macedonia.png
86,Northern Ireland,https://apiv3.apifootball.com/badges/logo_country/86_northern-ireland.png
87,Norway,https://apiv3.apifootball.com/badges/logo_country/87_norway.png
88,Oman,https://apiv3.apifootball.com/badges/logo_country/88_oman.png
168,Pakistan,
163,Palestine,https://apiv3.apifootball.com/badges/logo_country/163_palestine.png
126,Panama,https://apiv3.apifootball.com/badges/logo_country/126_panama.png
